"Plot","Block","Forest","Caco","elevation","slope.var","trunk_mean","Lianas.n_mean","dw.number_mean","dw.percent_mean","height_mean"
"KP1-S1","KP1","Kausi Primary",59.99,219,9.185655,56.2222222222222,2.44444444444444,0.518518518518518,5.55555555555556,6.98148148148148
"KP1-S2","KP1","Kausi Primary",58.03,219,7.185655,44.4,2.32,0.72,7,8.86
"KP1-S3","KP1","Kausi Primary",56.34,219,19.935655,84.3214285714286,0.923076923076923,0.148148148148148,6.07142857142857,8.10714285714286
"KP2-S1","KP2","Kausi Primary",55,195,5.43525,143.04,3.8,2.75,17.0833333333333,10.08
"KP2-S2","KP2","Kausi Primary",59.6,195,7.43525,50.9583333333333,2.08695652173913,1.04166666666667,10,6.3695652173913
"KP2-S3","KP2","Kausi Primary",59,195,3.68525,92.3703703703704,4.66666666666667,1.48148148148148,8.25925925925926,8.2962962962963
"KP4-S1","KP4","Kausi Primary",59.6,174,2.55908,62.6296296296296,1.59259259259259,0.555555555555556,8.33333333333333,8.77777777777778
"KP4-S2","KP4","Kausi Primary",59.7,174,1.93408,74.28,1.88,1.08333333333333,25.2083333333333,7.4
"KP4-S3","KP4","Kausi Primary",59.4,174,3.18408,95.1666666666667,0.375,1.04166666666667,6.875,8.16666666666667
"KP6-S1","KP6","Kausi Primary",60.99,296,7.935145,50.1538461538462,3.96153846153846,1.57692307692308,7.5,8.34615384615385
"KP6-S2","KP6","Kausi Primary",59.92,296,12.760145,57.6923076923077,9.42307692307692,2.73076923076923,8.26923076923077,13.5384615384615
"KP6-S3","KP6","Kausi Primary",62.88,296,19.935145,43.9090909090909,2.25,0.2,8.75,6.90909090909091
"NP1-S1","NP1","Numba Primary",56.26,876,5.7321775,76.2962962962963,2,2.22222222222222,11.1111111111111,8.81481481481481
"NP1-S2","NP1","Numba Primary",60.12,876,5.7321775,51.9090909090909,2.31818181818182,1.72727272727273,8.18181818181818,8.3695652173913
"NP1-S3","NP1","Numba Primary",60.78,876,8.6321775,56.5555555555556,1.77777777777778,0.407407407407407,6.2962962962963,8.77777777777778
"NP1-S4","NP1","Numba Primary",60.06,876,6.0321775,49.2380952380952,1.71428571428571,1.95238095238095,10.952380952381,5.69047619047619
"NP1-S5","NP1","Numba Primary",59.75,876,9.5571775,78.4,2.84,1.64,8.6,7.76
"NP2-S1","NP2","Numba Primary",75.8,872,14.832505,53.5,3.61538461538462,1.11538461538462,7.11538461538461,5.65384615384615
"NP2-S2","NP2","Numba Primary",65.7,872,19.932505,53.2222222222222,6.48148148148148,0.407407407407407,5.74074074074074,8.2962962962963
"NP2-S3","NP2","Numba Primary",56.36,872,14.932505,54.4545454545455,5.81818181818182,0.454545454545455,10.2272727272727,7.97727272727273
"NP2-S4","NP2","Numba Primary",67,872,11.932505,64.28,3.20833333333333,5.125,19.5833333333333,6.6
"NP2-S5","NP2","Numba Primary",61.4,872,11.057505,94.2608695652174,2.91304347826087,3.21739130434783,15.4347826086957,8.04347826086956
"NP4-S1","NP4","Numba Primary",60.64,929,8.1816075,77.6896551724138,3.82758620689655,0.413793103448276,6.51724137931035,9.8448275862069
"NP4-S2","NP4","Numba Primary",57.04,929,5.7066075,73.24,6.92,0.96,6.4,8.2
"NP4-S3","NP4","Numba Primary",60.15,929,6.9066075,64.4444444444444,5.14814814814815,0.481481481481481,5.74074074074074,7.85185185185185
"NP4-S4","NP4","Numba Primary",64.45,929,6.5566075,59.2173913043478,3.21739130434783,0.478260869565217,6.08695652173913,5.45652173913043
"NP4-S5","NP4","Numba Primary",59.5,929,6.5816075,54.75,4.46428571428571,0.964285714285714,10.5357142857143,8.58928571428571
"NP5-S1","NP5","Numba Primary",65.85,999,3.4316125,133.172413793103,4.31034482758621,1.93103448275862,9.82758620689655,10.7931034482759
"NP5-S2","NP5","Numba Primary",59.58,999,9.4316125,66.84,1.8,0.92,6.6,10.5
"NP5-S3","NP5","Numba Primary",57.73,999,10.9316125,73.2173913043478,2.39130434782609,1.17391304347826,11.7391304347826,7.41304347826087
"NP5-S4","NP5","Numba Primary",57.9,999,13.4316125,77.4285714285714,4.19047619047619,0.952380952380952,8.57142857142857,5.30952380952381
"NP5-S5","NP5","Numba Primary",59.35,999,7.9316125,59.2608695652174,5.69565217391304,0.608695652173913,9.1304347826087,7.23913043478261
